sim_time; tb3_0?world_linear_velocity/x; tb3_0?world_linear_velocity/y;; tb3_1?world_linear_velocity/x; tb3_1?world_linear_velocity/y
127,825;0,000168121;0,000140505;2,19E-04;0,0297823;-0,0257513
127,826;-5,29E-05;7,09E-05;8,85E-05;0,0296921;-0,0258266
127,827;0,000172287;5,82E-05;1,82E-04;0,0296047;-0,0258982
127,828;3,44E-05;7,93E-05;8,64E-05;0,0295217;-0,0259677
127,829;5,54E-05;-4,36E-05;7,06E-05;0,0294437;-0,0260362
127,83;0,000203384;0,000229071;3,06E-04;0,0293707;-0,0261045
127,831;4,91E-05;0,000173036;1,80E-04;0,029302;-0,0261736
127,832;5,28E-05;5,83E-05;7,86E-05;0,0292365;-0,0262435
127,833;0,00024063;0,000299846;3,84E-04;0,0291732;-0,0263146
127,834;6,44E-05;0,000242281;2,51E-04;0,029111;-0,0263867
127,835;6,23E-05;7,60E-05;9,83E-05;0,0290485;-0,0264602
127,836;0,000250145;0,000280793;3,76E-04;0,0289851;-0,0265347
127,837;9,25E-05;0,00013361;1,63E-04;0,0289204;-0,0266101
127,838;3,54E-05;0,000190916;1,94E-04;0,0288541;-0,0266862
127,839;3,36E-05;0,000195238;1,98E-04;0,0287863;-0,0267627
127,84;1,63E-06;1,60E-05;1,61E-05;0,0287172;-0,0268397
127,841;0,000184558;6,50E-05;1,96E-04;0,0286468;-0,0269167
127,842;5,55E-05;-2,11E-05;5,94E-05;0,0285756;-0,0269937
127,843;-1,81E-06;0,000102838;1,03E-04;0,0285039;-0,0270706
127,844;3,35E-05;5,66E-05;6,57E-05;0,0284318;-0,0271474
127,845;2,55E-05;-1,86E-05;3,16E-05;0,0283596;-0,0272241
127,846;0,000278321;3,20E-05;2,80E-04;0,0282875;-0,0273005
127,847;0,000145981;-1,14E-05;1,46E-04;0,0282154;-0,0273767
127,848;0,000245365;4,12E-05;2,49E-04;0,0281434;-0,0274525
127,849;0,000145052;7,26E-06;1,45E-04;0,0280714;-0,0275281
127,85;0,000359394;2,87E-05;3,61E-04;0,0279993;-0,0276033
127,851;0,000292604;1,08E-05;2,93E-04;0,0279272;-0,0276781
127,852;0,000416351;5,27E-05;4,20E-04;0,027855;-0,0277526
127,853;0,000375497;1,26E-06;3,75E-04;0,0277826;-0,0278268
127,854;0,000371819;9,17E-05;3,83E-04;0,02771;-0,0279006
127,855;0,000264573;-6,83E-05;2,73E-04;0,0276372;-0,0279742
127,856;0,000257463;-7,62E-05;2,69E-04;0,0275642;-0,0280475
127,857;0,000230856;-0,000166825;2,85E-04;0,027491;-0,0281205
127,858;0,00021276;-0,000230428;3,14E-04;0,0274176;-0,0281934
127,859;0,000184319;-0,000289521;3,43E-04;0,027344;-0,0282659
127,86;0,000143736;-0,000352423;3,81E-04;0,0272701;-0,0283383
127,861;8,96E-05;-0,000420233;4,30E-04;0,0271961;-0,0284105
127,862;5,67E-05;-0,000491398;4,95E-04;0,0271218;-0,0284825
127,863;1,15E-05;-0,000580143;5,80E-04;0,0270472;-0,0285543
127,864;-4,96E-05;-0,00059611;5,98E-04;0,0269725;-0,0286258
127,865;-3,26E-05;-0,000643867;6,45E-04;0,0268975;-0,0286972
127,866;-6,98E-05;-0,00070205;7,06E-04;0,0268223;-0,0287684
127,867;-0,000114364;-0,000710918;7,20E-04;0,0267469;-0,0288393
127,868;-8,54E-05;-0,00100147;1,01E-03;0,0266712;-0,0289101
127,869;3,61E-05;-0,000751423;7,52E-04;0,0265953;-0,0289806
127,87;-6,82E-05;-0,000851159;8,54E-04;0,0265192;-0,029051
127,871;-2,50E-05;-0,000818746;8,19E-04;0,0264429;-0,0291211
127,872;-5,22E-05;-0,000768844;7,71E-04;0,0263664;-0,029191
127,873;-6,54E-05;-0,000735324;7,38E-04;0,0262897;-0,0292606
127,874;-8,53E-05;-0,000682475;6,88E-04;0,0262128;-0,0293301
127,875;-5,78E-05;-0,000643274;6,46E-04;0,0261356;-0,0293993
127,876;-7,61E-05;-0,000599377;6,04E-04;0,0260583;-0,0294683
127,877;-1,65E-05;-0,000571243;5,71E-04;0,0259808;-0,0295371
127,878;-2,79E-05;-0,000519395;5,20E-04;0,025903;-0,0296056
127,879;-7,72E-06;-0,000495403;4,95E-04;0,0258251;-0,0296739
127,88;2,25E-05;-0,000794363;7,95E-04;0,0257469;-0,029742
127,881;0,00021919;-0,000408888;4,64E-04;0,0256686;-0,0298099
127,882;6,84E-05;-0,000653422;6,57E-04;0,02559;-0,0298775
127,883;7,52E-05;-0,000426666;4,33E-04;0,0255113;-0,0299449
127,884;2,05E-05;-0,000719039;7,19E-04;0,0254323;-0,0300121
127,885;0,000150454;-0,000378757;4,08E-04;0,0253532;-0,030079
127,886;1,22E-05;-0,000646873;6,47E-04;0,0252738;-0,0301457
127,887;7,19E-05;-0,000373544;3,80E-04;0,0251943;-0,0302122
127,888;1,04E-05;-0,000653604;6,54E-04;0,0251145;-0,0302784
127,889;0,000120137;-0,00033608;3,57E-04;0,0250346;-0,0303443
127,89;1,80E-05;-0,00060521;6,05E-04;0,0249545;-0,0304101
127,891;9,76E-05;-0,000312189;3,27E-04;0,0248741;-0,0304756
127,892;1,30E-05;-0,000583445;5,84E-04;0,0247936;-0,0305408
127,893;0,000115623;-0,000275185;2,98E-04;0,0247128;-0,0306059
127,894;2,05E-05;-0,000539037;5,39E-04;0,0246319;-0,0306706
127,895;0,000110892;-0,000244047;2,68E-04;0,0245508;-0,0307352
127,896;1,90E-05;-0,000506629;5,07E-04;0,0244694;-0,0307995
127,897;0,000117572;-0,000209728;2,40E-04;0,0243879;-0,0308635
127,898;2,17E-05;-0,000466051;4,67E-04;0,0243062;-0,0309273
127,899;0,000114106;-0,000180428;2,13E-04;0,0242243;-0,0309908
127,9;1,94E-05;-0,000432401;4,33E-04;0,0241422;-0,0310541
127,901;0,000114182;-0,000152154;1,90E-04;0,0240599;-0,0311172
127,902;1,85E-05;-0,000398725;3,99E-04;0,0239774;-0,0311799
127,903;0,000108821;-0,00012929;1,69E-04;0,0238947;-0,0312425
127,904;1,44E-05;-0,000372213;3,72E-04;0,0238118;-0,0313047
127,905;0,000104135;-0,000109914;1,51E-04;0,0237287;-0,0313667
127,906;9,83E-06;-0,00034766;3,48E-04;0,0236455;-0,0314285
127,907;9,54E-05;-9,55E-05;1,35E-04;0,023562;-0,0314899
127,908;1,17E-06;-0,000328168;3,28E-04;0,0234784;-0,0315512
127,909;8,55E-05;-8,52E-05;1,21E-04;0,0233945;-0,0316121
127,91;-0,000110679;-0,000170549;2,03E-04;0,0233105;-0,0316728
127,911;-1,04E-05;-0,000137572;1,38E-04;0,0232262;-0,0317332
127,912;0,00020374;-0,000187687;2,77E-04;0,0231418;-0,0317934
127,913;0,000149317;-7,88E-05;1,69E-04;0,0230839;-0,0319044
127,914;-5,71E-05;-0,000144437;1,55E-04;0,0230319;-0,0320091
127,915;-0,000200349;-0,000205231;2,87E-04;0,022977;-0,0321082
127,916;3,08E-05;-0,000163394;1,66E-04;0,0229149;-0,0322005
127,917;0,000180392;-0,000251035;3,09E-04;0,022845;-0,032284
127,918;6,11E-05;-0,000165475;1,76E-04;0,0227688;-0,0323585
127,919;-0,000163476;-0,000221503;2,75E-04;0,0226886;-0,0324256
127,92;-0,000365024;-0,000267015;4,52E-04;0,0226058;-0,0324872
127,921;-4,55E-05;-0,000224719;2,29E-04;0,0225218;-0,0325454
127,922;7,88E-05;-0,000298198;3,08E-04;0,0224369;-0,0326016
127,923;-0,000128631;-0,000229865;2,63E-04;0,0223514;-0,032657
127,924;-0,000330309;-0,000255604;4,18E-04;0,0222652;-0,0327122
127,925;-4,53E-05;-0,000247219;2,51E-04;0,0221782;-0,0327672
127,926;4,83E-05;-0,000304033;3,08E-04;0,0220904;-0,032822
127,927;-0,000168759;-0,000189116;2,53E-04;0,0220017;-0,0328767
127,928;-0,000368757;-0,000233127;4,36E-04;0,0219121;-0,032931
127,929;-0,000118558;-0,000257266;2,83E-04;0,0218218;-0,0329851
127,93;-2,27E-05;-0,000313184;3,14E-04;0,0217309;-0,0330388
127,931;-0,000265627;-0,000217025;3,43E-04;0,0216397;-0,0330923
127,932;-0,000450188;-0,000262913;5,21E-04;0,0215484;-0,0331456
127,933;-0,00017121;-0,000259587;3,11E-04;0,021457;-0,0331988
127,934;-7,90E-05;-0,000324954;3,34E-04;0,0213657;-0,0332516
127,935;-3,41E-05;-0,000343885;3,46E-04;0,0212744;-0,0333039
127,936;-0,000285766;-0,000220197;3,61E-04;0,0211831;-0,0333558
127,937;-0,000477585;-0,000278924;5,53E-04;0,0210919;-0,0334073
127,938;-0,000282448;-0,000327873;4,33E-04;0,0210007;-0,0334585
127,939;-0,00023783;-0,000419351;4,82E-04;0,0209095;-0,0335092
127,94;-0,000216377;-0,000488696;5,34E-04;0,0208182;-0,0335594
127,941;-0,000431568;-0,00051963;6,75E-04;0,0207268;-0,0336092
127,942;-0,000356369;-0,000599093;6,97E-04;0,0206353;-0,0336587
127,943;-0,000362047;-0,000676439;7,67E-04;0,0205436;-0,0337077
127,944;-0,0003838;-0,000743004;8,36E-04;0,0204517;-0,0337562
127,945;-0,000575565;-0,000839958;1,02E-03;0,0203597;-0,0338044
127,946;-0,000454081;-0,000894604;1,00E-03;0,0202675;-0,0338522
127,947;-0,000459409;-0,000994682;1,10E-03;0,0201752;-0,0338997
127,948;-0,000444306;-0,00105537;1,15E-03;0,0200826;-0,0339469
127,949;-0,000448301;-0,00111676;1,20E-03;0,01999;-0,0339938
127,95;-0,000462925;-0,00118413;1,27E-03;0,0198971;-0,0340403
127,951;-0,000491725;-0,00125841;1,35E-03;0,019804;-0,0340864
