sim_time; tb3_1?world_linear_velocity/x
128,205;-0,00533024
128,206;-0,00543108
128,207;-0,00553198
128,208;-0,00563327
128,209;-0,00573482
128,21;-0,00583651
128,211;-0,00593826
128,212;-0,00604018
128,213;-0,00615742
128,214;-0,00635554
128,215;-0,00655506
128,216;-0,00674229
128,217;-0,00689979
128,218;-0,00702833
128,219;-0,00714447
128,22;-0,00726527
128,221;-0,00739983
128,222;-0,00754847
128,223;-0,00770638
128,224;-0,00786782
128,225;-0,00802919
128,226;-0,00818977
128,227;-0,00835059
128,228;-0,00849749
128,229;-0,00863646
128,23;-0,0087532
128,231;-0,00884864
128,232;-0,00893032
128,233;-0,00900748
128,234;-0,00908729
128,235;-0,00917332
128,236;-0,00925962
128,237;-0,00935085
128,238;-0,00943017
128,239;-0,00951653
128,24;-0,00960071
128,241;-0,00969023
128,242;-0,00977557
128,243;-0,00986959
128,244;-0,00995838
128,245;-0,0100546
128,246;-0,0103111
128,247;-0,0105553
128,248;-0,0108039
128,249;-0,0110478
128,25;-0,0112853
128,251;-0,0115201
128,252;-0,0117488
128,253;-0,0119782
128,254;-0,012199
128,255;-0,0124242
128,256;-0,0126452
128,257;-0,0128686
128,258;-0,0130913
128,259;-0,0133142
128,26;-0,013537
128,261;-0,0137615
128,262;-0,0139895
128,263;-0,0142224
128,264;-0,0144604
128,265;-0,0147043
128,266;-0,0149535
128,267;-0,015209
128,268;-0,0154763
128,269;-0,0157482
128,27;-0,0160217
128,271;-0,0162964
128,272;-0,0165732
128,273;-0,0168506
128,274;-0,0171723
128,275;-0,0174151
128,276;-0,017747
128,277;-0,0180928
128,278;-0,0184058
128,279;-0,0186079
128,28;-0,0188733
128,281;-0,0191667
128,282;-0,0194617
128,283;-0,0197487
128,284;-0,0200293
128,285;-0,0203082
128,286;-0,0205881
128,287;-0,0208693
128,288;-0,021151
128,289;-0,0214321
128,29;-0,0217121
128,291;-0,0219907
128,292;-0,022268
128,293;-0,0225443
128,294;-0,0228194
128,295;-0,0230934
128,296;-0,0233662
128,297;-0,0236379
128,298;-0,0239082
128,299;-0,0241773
128,3;-0,0244451
128,301;-0,0247117
128,302;-0,024977
128,303;-0,0252411
128,304;-0,0255041
128,305;-0,025766
128,306;-0,0260266
128,307;-0,0262861
128,308;-0,0265444
128,309;-0,0268014
128,31;-0,0270571
128,311;-0,0273115
128,312;-0,0275643
128,313;-0,0273408
128,314;-0,027186
128,315;-0,0270544
128,316;-0,0269261
128,317;-0,0268017
128,318;-0,0266865
128,319;-0,0265814
128,32;-0,026483
128,321;-0,0263871
128,322;-0,0262902
128,323;-0,02619
128,324;-0,0260848
128,325;-0,0259734
128,326;-0,025855
128,327;-0,0257289
128,328;-0,0255948
128,329;-0,0254528
128,33;-0,0253023
128,331;-0,0251409
128,332;-0,0249604
128,333;-0,0248629
128,334;-0,0247834
128,335;-0,0246833
128,336;-0,0245699
128,337;-0,0244749
128,338;-0,0244161
128,339;-0,0243925
128,34;-0,0243916
128,341;-0,0244007
128,342;-0,0244125
128,343;-0,0244285
128,344;-0,0243973
128,345;-0,0244141
128,346;-0,0243005
128,347;-0,0243124
128,348;-0,0243635
128,349;-0,0244169
128,35;-0,0244622
128,351;-0,0245049
128,352;-0,0245528
128,353;-0,0246098
128,354;-0,0246753
128,355;-0,0247475
128,356;-0,0248236
128,357;-0,0249025
128,358;-0,024985
128,359;-0,0250718
128,36;-0,0251628
128,361;-0,0252574
128,362;-0,025355
128,363;-0,0254553
128,364;-0,0255582
128,365;-0,0256627
128,366;-0,0257679
128,367;-0,0258729
128,368;-0,0259777
128,369;-0,0260827
128,37;-0,0261887
128,371;-0,0262962
128,372;-0,0264055
128,373;-0,026517
128,374;-0,026631
128,375;-0,0267475
128,376;-0,0268661
128,377;-0,0269844
128,378;-0,0270517
128,379;-0,0271988
128,38;-0,0273491
128,381;-0,0274848
128,382;-0,0276078
128,383;-0,0277293
128,384;-0,0278579
128,385;-0,0279968
128,386;-0,0281449
128,387;-0,0282992
128,388;-0,0284572
128,389;-0,0286173
128,39;-0,0287786
128,391;-0,0289411
128,392;-0,0291052
128,393;-0,0292714
128,394;-0,0294403
128,395;-0,0296125
128,396;-0,0297883
128,397;-0,0299677
128,398;-0,0301439
128,399;-0,0302627
128,4;-0,030308
128,401;-0,0302917
128,402;-0,0302343
128,403;-0,0301569
128,404;-0,030077
128,405;-0,0299993
128,406;-0,0299567
128,407;-0,0299876
128,408;-0,0297881
128,409;-0,0296607
128,41;-0,0295873
128,411;-0,0295023
128,412;-0,0294631
128,413;-0,0294163
128,414;-0,0293677
128,415;-0,0293784
128,416;-0,0293601
128,417;-0,0293366
128,418;-0,0292965
128,419;-0,029278
128,42;-0,029265
128,421;-0,0292441
128,422;-0,0292223
128,423;-0,0292161
128,424;-0,0292137
128,425;-0,0292084
128,426;-0,0291861
128,427;-0,0291759
128,428;-0,0291747
128,429;-0,0291754
128,43;-0,029167
128,431;-0,0291538
128,432;-0,029137
128,433;-0,0291183
128,434;-0,0290991
128,435;-0,0290827
128,436;-0,0290685
128,437;-0,0290566
128,438;-0,0290469
128,439;-0,0290397
128,44;-0,0290349
128,441;-0,0290325
128,442;-0,0290327
128,443;-0,0290354
128,444;-0,0290406
128,445;-0,0290484
128,446;-0,0290586
128,447;-0,029071
128,448;-0,0290852
128,449;-0,0291031
128,45;-0,0291239
128,451;-0,0291479
128,452;-0,0291747
128,453;-0,0292044
128,454;-0,0292361
128,455;-0,0292672
128,456;-0,0293126
128,457;-0,0293596
128,458;-0,0294023
128,459;-0,029445
128,46;-0,0294897
128,461;-0,0295388
128,462;-0,0295853
128,463;-0,0296396
128,464;-0,0296977
128,465;-0,0297572
128,466;-0,029815
128,467;-0,0298703
128,468;-0,0299267
128,469;-0,0299514
128,47;-0,029984
128,471;-0,030023
128,472;-0,0300678
128,473;-0,0301189
128,474;-0,0301209
128,475;-0,0301408
128,476;-0,0301767
128,477;-0,0302258
128,478;-0,0302874
128,479;-0,0303416
128,48;-0,0304136
128,481;-0,0304235
128,482;-0,0304624
128,483;-0,0305255
128,484;-0,0306083
128,485;-0,030708
128,486;-0,0307275
128,487;-0,0307822
128,488;-0,0308656
128,489;-0,0309719
128,49;-0,0310233
128,491;-0,0311061
128,492;-0,0312137
128,493;-0,0313066
128,494;-0,0314241
128,495;-0,0314592
128,496;-0,0315321
128,497;-0,0316328
128,498;-0,0317552
128,499;-0,031859
128,5;-0,0319832
128,501;-0,0320652
128,502;-0,0321718
128,503;-0,032295
128,504;-0,0324284
128,505;-0,0324953
128,506;-0,0325843
128,507;-0,0326863
128,508;-0,0327961
128,509;-0,03291
128,51;-0,0330245
128,511;-0,0331369
128,512;-0,0332452
128,513;-0,033523
128,514;-0,0336769
128,515;-0,0337447
128,516;-0,0337646
128,517;-0,0337603
128,518;-0,0337458
128,519;-0,0337279
128,52;-0,0337106
128,521;-0,0336963
128,522;-0,0336871
128,523;-0,0336847
128,524;-0,0336913
128,525;-0,0337082
128,526;-0,033737
128,527;-0,0337773
128,528;-0,0338277
128,529;-0,0338862
128,53;-0,0339504
128,531;-0,0340179
128,532;-0,0340864
128,533;-0,0341541
128,534;-0,0342195
128,535;-0,0342819
128,536;-0,0343408
128,537;-0,0343962
128,538;-0,0344482
128,539;-0,0344974
128,54;-0,0345441
128,541;-0,0345891
128,542;-0,0346327
128,543;-0,0346755
128,544;-0,0347179
128,545;-0,0347602
128,546;-0,0348027
128,547;-0,0348456
128,548;-0,0348889
128,549;-0,0349327
128,55;-0,0349769
128,551;-0,0350214
128,552;-0,0350663
128,553;-0,0351113
128,554;-0,0351563
128,555;-0,0352012
128,556;-0,035246
128,557;-0,0352906
128,558;-0,035335
128,559;-0,0353791
128,56;-0,0354228
128,561;-0,0354663
128,562;-0,0355096
128,563;-0,0355525
128,564;-0,0355953
128,565;-0,0356378
128,566;-0,0356801
128,567;-0,0357222
128,568;-0,0357642
128,569;-0,0358059
128,57;-0,0358474
128,571;-0,0358886
128,572;-0,0359292
128,573;-0,0359691
128,574;-0,0360085
128,575;-0,0360477
128,576;-0,0360871
128,577;-0,0361267
128,578;-0,0361664
128,579;-0,0362061
128,58;-0,0362458
128,581;-0,0362854
128,582;-0,0363249
128,583;-0,0363643
128,584;-0,0364035
128,585;-0,0364425
128,586;-0,0364812
128,587;-0,0365197
128,588;-0,0365578
128,589;-0,0365957
128,59;-0,0366332
128,591;-0,0366704
128,592;-0,0367075
128,593;-0,0367443
128,594;-0,0367809
128,595;-0,0368174
128,596;-0,0368537
128,597;-0,0368899
128,598;-0,0369259
128,599;-0,0369617
128,6;-0,0369973
128,601;-0,0370327
128,602;-0,0370678
128,603;-0,0371028
128,604;-0,0371375
128,605;-0,0371719
128,606;-0,0372062
128,607;-0,0372402
128,608;-0,037274
128,609;-0,0373076
128,61;-0,037341
128,611;-0,0373742
