sim_time, tb3_1?world_pose/position/y
128.307, 0.0662312
128.308, 0.0661745
128.309, 0.0661178
128.31, 0.0660609
128.311, 0.0660041
128.312, 0.0659471
128.313, 0.0658908
128.314, 0.0658352
128.315, 0.0657801
128.316, 0.0657256
128.317, 0.0656718
128.318, 0.0656186
128.319, 0.065566
128.32, 0.0655141
128.321, 0.0654628
128.322, 0.0654122
128.323, 0.0653622
128.324, 0.0653129
128.325, 0.0652642
128.326, 0.0652161
128.327, 0.0651687
128.328, 0.0651219
128.329, 0.0650757
128.33, 0.0650301
128.331, 0.0649852
128.332, 0.0649408
128.333, 0.0648969
128.334, 0.0648537
128.335, 0.0648111
128.336, 0.064769
128.337, 0.0647273
128.338, 0.0646859
128.339, 0.0646449
128.34, 0.0646041
128.341, 0.0645637
128.342, 0.0645235
128.343, 0.0644836
128.344, 0.064444
128.345, 0.0644046
128.346, 0.0643656
128.347, 0.0643268
128.348, 0.0642883
128.349, 0.0642499
128.35, 0.0642116
128.351, 0.0641734
128.352, 0.0641354
128.353, 0.0640974
128.354, 0.0640596
128.355, 0.0640219
128.356, 0.0639844
128.357, 0.0639471
128.358, 0.0639099
128.359, 0.0638728
128.36, 0.0638359
128.361, 0.0637991
128.362, 0.0637625
128.363, 0.0637259
128.364, 0.0636895
128.365, 0.0636531
128.366, 0.0636169
128.367, 0.0635807
128.368, 0.0635447
128.369, 0.0635087
128.37, 0.0634728
128.371, 0.063437
128.372, 0.0634013
128.373, 0.0633656
128.374, 0.06333
128.375, 0.0632944
128.376, 0.0632589
128.377, 0.0632234
128.378, 0.0631881
128.379, 0.0631528
128.38, 0.0631175
128.381, 0.0630824
128.382, 0.0630473
128.383, 0.0630122
128.384, 0.0629772
128.385, 0.0629421
128.386, 0.0629071
128.387, 0.0628721
128.388, 0.062837
128.389, 0.062802
128.39, 0.062767
128.391, 0.0627319
128.392, 0.0626969
128.393, 0.0626619
128.394, 0.0626269
128.395, 0.0625919
128.396, 0.0625568
128.397, 0.0625218
128.398, 0.0624867
128.399, 0.0624517
128.4, 0.0624168
128.401, 0.0623821
128.402, 0.0623476
128.403, 0.0623133
128.404, 0.0622794
128.405, 0.0622457
128.406, 0.0622122
128.407, 0.0621792
128.408, 0.0621464
128.409, 0.0621137
128.41, 0.0620813
128.411, 0.062049
128.412, 0.062017
128.413, 0.0619852
128.414, 0.0619535
128.415, 0.061922
128.416, 0.0618907
128.417, 0.0618596
128.418, 0.0618286
128.419, 0.0617978
128.42, 0.0617672
128.421, 0.0617368
128.422, 0.0617066
128.423, 0.0616765
128.424, 0.0616466
128.425, 0.0616169
128.426, 0.0615874
128.427, 0.061558
128.428, 0.0615288
128.429, 0.0614998
128.43, 0.0614709
128.431, 0.0614422
128.432, 0.0614137
128.433, 0.0613853
128.434, 0.0613571
128.435, 0.061329
128.436, 0.0613011
128.437, 0.0612733
128.438, 0.0612456
128.439, 0.0612181
128.44, 0.0611907
128.441, 0.0611635
128.442, 0.0611363
128.443, 0.0611093
128.444, 0.0610824
128.445, 0.0610557
128.446, 0.061029
128.447, 0.0610025
128.448, 0.0609761
128.449, 0.0609498
128.45, 0.0609236
128.451, 0.0608975
128.452, 0.0608716
128.453, 0.0608457
128.454, 0.06082
128.455, 0.0607944
128.456, 0.0607689
128.457, 0.0607435
128.458, 0.0607183
128.459, 0.0606932
128.46, 0.0606682
128.461, 0.0606433
128.462, 0.0606185
128.463, 0.0605938
128.464, 0.0605692
128.465, 0.0605448
128.466, 0.0605204
128.467, 0.0604961
128.468, 0.0604719
128.469, 0.0604478
128.47, 0.0604238
128.471, 0.0603998
128.472, 0.0603759
128.473, 0.0603521
128.474, 0.0603284
128.475, 0.0603047
128.476, 0.0602811
128.477, 0.0602576
128.478, 0.0602341
128.479, 0.0602107
128.48, 0.0601874
128.481, 0.0601642
128.482, 0.060141
128.483, 0.0601179
128.484, 0.0600949
128.485, 0.0600719
128.486, 0.0600491
128.487, 0.0600262
128.488, 0.0600035
128.489, 0.0599808
128.49, 0.0599582
128.491, 0.0599356
128.492, 0.0599131
128.493, 0.0598907
128.494, 0.0598683
128.495, 0.059846
128.496, 0.0598237
128.497, 0.0598015
128.498, 0.0597794
128.499, 0.0597573
128.5, 0.0597353
128.501, 0.0597133
128.502, 0.0596914
128.503, 0.0596695
128.504, 0.0596476
128.505, 0.0596258
128.506, 0.0596041
128.507, 0.0595824
128.508, 0.0595608
128.509, 0.0595392
128.51, 0.0595176
128.511, 0.0594961
128.512, 0.0594747
128.513, 0.0594533
128.514, 0.0594318
128.515, 0.0594104
128.516, 0.059389
128.517, 0.0593677
128.518, 0.0593465
128.519, 0.0593255
128.52, 0.0593045
128.521, 0.0592837
128.522, 0.059263
128.523, 0.0592425
128.524, 0.0592221
128.525, 0.0592018
128.526, 0.0591817
128.527, 0.0591616
128.528, 0.0591417
