sim_time; tb3_0?world_linear_velocity/y
128,388;8,55E-06
128,389;0,000113391
128,39;8,54E-05
128,391;9,64E-05
128,392;7,80E-05
128,393;-1,48E-05
128,394;-2,93E-06
128,395;2,60E-05
128,396;-2,75E-05
128,397;-7,77E-05
128,398;-4,63E-05
128,399;-9,43E-05
128,4;-0,00011242
128,401;-9,95E-05
128,402;-0,000150656
128,403;-0,000151545
128,404;-0,000134346
128,405;-0,000190852
128,406;-0,000175628
128,407;-0,000132023
128,408;6,36E-05
128,409;5,41E-05
128,41;-3,11E-05
128,411;-7,28E-05
128,412;-9,39E-05
128,413;8,77E-05
128,414;4,14E-06
128,415;-6,62E-05
128,416;-9,34E-05
128,417;-0,000133686
128,418;9,11E-05
128,419;-7,10E-06
128,42;-7,25E-05
128,421;-3,22E-05
128,422;-5,64E-05
128,423;0,000110781
128,424;-3,20E-05
128,425;-0,000112647
128,426;-6,18E-05
128,427;-0,000138881
128,428;-2,30E-06
128,429;-0,000113121
128,43;-4,97E-05
128,431;-0,000156641
128,432;-1,42E-05
128,433;-0,00013773
128,434;-1,13E-05
128,435;-0,000135747
128,436;1,60E-06
128,437;-0,000133934
128,438;6,52E-06
128,439;-0,000129166
128,44;1,11E-05
128,441;-0,000147998
128,442;2,35E-05
128,443;-2,87E-05
128,444;-7,97E-05
128,445;-0,000235428
128,446;4,65E-05
128,447;-5,52E-05
128,448;-0,000206369
128,449;5,35E-05
128,45;-4,60E-05
128,451;-0,000184843
128,452;5,61E-05
128,453;-9,40E-05
128,454;1,95E-05
128,455;-3,48E-05
128,456;4,27E-05
128,457;-0,000102027
128,458;0,000132714
128,459;-4,41E-06
128,46;-4,04E-05
128,461;4,12E-05
128,462;9,78E-05
128,463;7,39E-05
128,464;0,000119285
128,465;0,000136013
128,466;0,000166586
128,467;0,000143338
128,468;0,000283214
128,469;0,000302942
128,47;0,000334952
128,471;0,000389498
128,472;0,000370005
128,473;0,000542086
128,474;0,000591477
128,475;0,000648297
128,476;0,00068845
128,477;0,000684238
128,478;0,000873262
128,479;0,000732905
128,48;0,000814568
128,481;0,000853908
128,482;0,000855576
128,483;0,000907863
128,484;0,000893057
128,485;0,000946536
128,486;0,000962162
128,487;0,000932112
128,488;0,000972831
128,489;0,000978547
128,49;0,000930871
128,491;0,000972168
128,492;0,000977561
128,493;0,000904751
128,494;0,000961913
128,495;0,000812363
128,496;0,00113607
128,497;0,00094944
128,498;0,00087418
128,499;0,000610962
128,5;0,00067503
128,501;0,00049458
128,502;0,000223964
128,503;0,000327583
128,504;0,000111846
128,505;8,66E-05
128,506;6,96E-05
128,507;-9,07E-06
128,508;3,68E-05
128,509;-4,60E-05
128,51;-0,0002025
128,511;5,25E-05
128,512;-2,48E-05
128,513;-9,52E-06
128,514;-0,000265371
128,515;5,40E-05
128,516;-0,000184581
128,517;-0,000124288
128,518;-0,000145305
128,519;-0,000457436
128,52;-0,000200731
128,521;-0,000361367
128,522;-0,000363325
128,523;-0,000319138
128,524;-0,000638851
128,525;-0,000437746
128,526;-0,000735363
128,527;-0,000457663
128,528;-0,000512645
128,529;-0,000831521
128,53;-0,00047544
128,531;-0,000580044
128,532;-0,000580174
128,533;-0,000468969
128,534;-0,000756103
128,535;-0,000405275
128,536;-0,000465026
128,537;-0,000449053
128,538;-0,00036756
128,539;-0,000357738
128,54;-0,000679446
128,541;-0,000279859
128,542;-0,000520421
128,543;-0,000352582
128,544;-0,000324967
128,545;-0,000589938
128,546;-0,000166774
128,547;-0,000234773
128,548;-0,00017191
128,549;-0,000455203
128,55;-7,06E-05
128,551;-0,000151814
128,552;-0,000104947
128,553;-0,000394195
128,554;-2,59E-05
128,555;-0,000121803
128,556;-8,77E-05
128,557;-0,00037755
128,558;-2,25E-05
128,559;-0,000120971
128,56;-0,000188897
128,561;-6,61E-05
128,562;-9,72E-05
128,563;-0,000134086
128,564;-9,71E-05
128,565;-0,000233448
128,566;-6,14E-05
128,567;-9,28E-05
128,568;-0,000136796
128,569;-0,000142798
128,57;-0,000201937
128,571;-4,83E-05
128,572;-8,76E-05
128,573;-0,000126617
128,574;-9,39E-05
128,575;-0,000159362
128,576;-7,86E-05
128,577;-6,57E-05
128,578;-0,000153232
128,579;-0,000116038
128,58;-0,000208275
128,581;-0,000222153
128,582;-0,000323598
128,583;-0,000404124
128,584;-0,000366671
128,585;-0,000463708
128,586;-0,000493579
128,587;-0,000589448
128,588;-0,000680108
128,589;-0,000730946
128,59;-0,00080563
128,591;-0,000899088
128,592;-0,000974295
128,593;-0,000992979
128,594;-0,00107553
128,595;-0,00114045
128,596;-0,00116331
128,597;-0,00117208
128,598;-0,00123896
128,599;-0,00129432
128,6;-0,00129034
128,601;-0,00131762
128,602;-0,00139811
128,603;-0,00134467
128,604;-0,00146921
128,605;-0,00165703
128,606;-0,00183676
128,607;-0,00198348
128,608;-0,00209307
128,609;-0,00217028
128,61;-0,00222614
128,611;-0,00226624
128,612;-0,00229968
128,613;-0,00232732
128,614;-0,00235124
128,615;-0,0023758
128,616;-0,00241933
128,617;-0,00242447
128,618;-0,002491
128,619;-0,00246167
128,62;-0,002443
128,621;-0,00258142
128,622;-0,00255014
128,623;-0,00261361
128,624;-0,00280424
128,625;-0,00281614
128,626;-0,00282858
128,627;-0,0030152
128,628;-0,00311451
128,629;-0,00320783
128,63;-0,00327491
128,631;-0,00330775
128,632;-0,0033485
128,633;-0,00344821
128,634;-0,00339105
128,635;-0,00330353
128,636;-0,00338614
128,637;-0,00321417
128,638;-0,00323931
128,639;-0,00316903
128,64;-0,00312839
128,641;-0,00310653
128,642;-0,00308883
128,643;-0,00302586
128,644;-0,00301043
128,645;-0,00294925
128,646;-0,00294141
128,647;-0,00290922
128,648;-0,00292039
128,649;-0,00291896
128,65;-0,00296211
128,651;-0,00297599
128,652;-0,00303808
128,653;-0,00305847
128,654;-0,00311628
128,655;-0,00314224
128,656;-0,00319115
128,657;-0,00321567
128,658;-0,00326061
128,659;-0,00327453
128,66;-0,00333046
128,661;-0,00332136
128,662;-0,0033592
128,663;-0,0033517
128,664;-0,00339455
128,665;-0,00340938
128,666;-0,0034288
128,667;-0,00343951
128,668;-0,00360368
128,669;-0,00360663
128,67;-0,00359075
128,671;-0,00376367
128,672;-0,00368978
128,673;-0,00364619
128,674;-0,00365504
128,675;-0,00358626
128,676;-0,00356844
128,677;-0,0035131
128,678;-0,00361216
128,679;-0,00353743
128,68;-0,00350358
128,681;-0,00350075
128,682;-0,00347899
128,683;-0,003519
128,684;-0,00349251
128,685;-0,00361675
128,686;-0,00350684
128,687;-0,00349266
128,688;-0,00350315
128,689;-0,0036251
128,69;-0,00363019
128,691;-0,00364694
128,692;-0,00385528
128,693;-0,0038358
128,694;-0,00389088
128,695;-0,00409981
128,696;-0,00408749
128,697;-0,00415135
128,698;-0,00416378
128,699;-0,00436923
128,7;-0,00438528
128,701;-0,0044392
128,702;-0,00441579
128,703;-0,00456239
128,704;-0,00453897
128,705;-0,00459151
128,706;-0,0045411
128,707;-0,00464781
128,708;-0,00458971
128,709;-0,00462332
128,71;-0,00452236
128,711;-0,00463125
128,712;-0,00467173
128,713;-0,00470894
128,714;-0,00471289
128,715;-0,00470091
128,716;-0,00468486
128,717;-0,00466869
128,718;-0,0046528
128,719;-0,00463641
128,72;-0,00462118
128,721;-0,00460883
128,722;-0,00459722
128,723;-0,00477722
128,724;-0,00479297
128,725;-0,00483843
128,726;-0,0048869
128,727;-0,00490352
128,728;-0,00512334
128,729;-0,00523804
128,73;-0,00535388
128,731;-0,00538259
128,732;-0,00557577
128,733;-0,00563753
128,734;-0,00570683
128,735;-0,00573224
128,736;-0,00585836
128,737;-0,00584698
128,738;-0,00588047
128,739;-0,00583459
128,74;-0,005902
128,741;-0,00584961
128,742;-0,00587612
128,743;-0,00578905
128,744;-0,00583234
128,745;-0,00582898
128,746;-0,00590299
128,747;-0,00584191
128,748;-0,00590627
128,749;-0,00520463
128,75;-0,0048265
128,751;-0,00453097
128,752;-0,00411581
128,753;-0,00383618
128,754;-0,00371015
128,755;-0,00362106
128,756;-0,00342499
128,757;-0,0034096
128,758;-0,00358996
128,759;-0,00336418
128,76;-0,00324442
128,761;-0,00324452
128,762;-0,00299496
128,763;-0,0028678
128,764;-0,0026732
128,765;-0,00245237
128,766;-0,00222379
128,767;-0,00216099
128,768;-0,00203201
128,769;-0,00184171
128,77;-0,00173633
128,771;-0,00153075
128,772;-0,001233
128,773;-0,00100977
128,774;-0,000783711
128,775;-0,000447177
128,776;-0,000103094
128,777;0,000142586
128,778;0,00012705
128,779;9,93E-05
128,78;4,64E-05
128,781;4,07E-05
128,782;9,74E-05
128,783;8,17E-05
128,784;0,000131589
128,785;0,000177318
128,786;0,000144047
128,787;0,000114152
128,788;0,000212188
128,789;0,000172596
128,79;0,000170832
128,791;0,000244372
128,792;0,000258531
128,793;0,000213214
128,794;0,000280393
128,795;0,000280514
128,796;0,000315299
128,797;0,000324687
128,798;0,000298516
128,799;0,000335773
128,8;0,000285963
128,801;0,000350032
128,802;0,000303068
128,803;0,00035407
128,804;0,000346268
128,805;0,000399832
128,806;0,000392002
128,807;0,00035797
128,808;0,000410708
128,809;0,000366766
128,81;0,00041321
128,811;0,000372736
128,812;0,000348351
128,813;0,000135486
128,814;7,90E-05
128,815;2,87E-05
128,816;0,000151984
128,817;0,000335573
128,818;0,000390323
128,819;0,000439239
128,82;0,000392664
128,821;0,000342423
128,822;0,000269417
128,823;0,00017124
128,824;0,000152627
128,825;7,03E-05
128,826;3,55E-05
128,827;3,59E-06
128,828;-5,44E-05
128,829;-2,75E-05
128,83;3,67E-05
128,831;-7,24E-05
128,832;-0,000103286
128,833;-1,64E-05
128,834;-0,00021968
128,835;4,82E-05
128,836;-6,44E-05
128,837;-0,000199969
128,838;-7,86E-05
128,839;-0,000300143
128,84;2,65E-05
128,841;-7,24E-05
128,842;-0,000353134
128,843;6,90E-05
128,844;-7,93E-05
128,845;-0,000390893
128,846;7,16E-06
128,847;-0,00013985
128,848;-0,000474648
128,849;-7,24E-05
128,85;-0,000344566
128,851;-0,000208674
128,852;-0,000198483
128,853;-0,000110602
128,854;-0,000449963
128,855;-0,000184228
128,856;-0,00050117
128,857;-0,000205986
128,858;-0,000530029
128,859;-0,000210018
128,86;-0,000527123
