x;y;norme;cmd;erreur;rosbagTimestamp;;
0,482717603;-2,76E-05;0,482717604;0,517053593;0,034335989;41296000000;0,066407021;
0,47137229;4,38E-05;0,471372292;0,470298565;-0,001073728;41396000000;-0,002283076;
0,482860229;4,27E-05;0,482860231;0,521877616;0,039017386;41496000000;0,074763478;
0,491898338;6,20E-05;0,491898342;0,490307401;-0,001590941;41597000000;-0,003244783;
0,50266758;3,61E-05;0,502667582;0,524559071;0,021891489;41696000000;0,041733124;
0,492891338;5,74E-05;0,492891341;0,491425186;-0,001466155;41796000000;-0,002983475;
0,503672685;8,10E-05;0,503672692;0,524853488;0,021180796;41896000000;0,040355636;
0,492845221;5,04E-05;0,492845224;0,491559803;-0,001285421;41996000000;-0,002614983;
0,504262845;0,000206429;0,504262887;0,540593487;0,036330599;42096000000;0,067205026;
0,492639376;2,53E-05;0,492639377;0,491568249;-0,001071128;42197000000;-0,002179001;
0,475002315;0,000144534;0,475002337;0,457395351;-0,017606985;42296000000;-0,038494019;
0,457555315;-0,0003593;0,457555456;0,483178202;0,025622746;42396000000;0,053029597;
0,47443986;-0,007142418;0,47449362;0,506235916;0,031742296;42497000000;0,062702577;
0,499240151;-0,000336864;0,499240265;0,668085732;0,168845467;42596000000;0,25273024;
0,527889993;-0,000994906;0,527890931;0,524777269;-0,003113662;42696000000;-0,005933301;
0,497465567;-0,011225957;0,497592215;0,488972935;-0,00861928;42796000000;-0,017627315;
0,517862385;-0,011373507;0,517987265;0,692568397;0,174581132;42896000000;0,25207782;
0,538645915;-0,045746878;0,540585052;0,518695703;-0,02188935;42997000000;-0,042200754;
0,48149497;-0,025221076;0,482155068;0,492474625;0,010319557;43097000000;0,020954496;
0,498345943;-0,034011863;0,499505241;0,557518102;0,058012862;43196000000;0,104055566;
0,511596835;-0,037458608;0,512966342;0,521531272;0,00856493;43296000000;0,016422658;
0,461351621;-0,021071744;0,461832585;0,468585562;0,006752978;43396000000;0,014411408;
0,472908416;-0,024636391;0,473549704;0,540813443;0,06726374;43496000000;0,124375125;
0,482427009;-0,00021087;0,482427055;0,487554345;0,00512729;43596000000;0,010516346;
0,493949119;-0,00552092;0,493979972;0,69442591;0,200445938;43696000000;0,288649855;
0,515666422;-0,000411826;0,515666587;0,494513176;-0,021153411;43796000000;-0,042776233;
